game,date,player,corp,vp_tr,vp_award,vp_milest,vp_green,vp_city,vp_cards,vp_total
1,20180121,V,Ecoline,47,7,10,17,18,29,128
1,20180121,J,Teractor,48,7,5,7,12,35,114
2,20180120,V,Ecoline,38,4,10,13,11,41,117
2,20180120,J,Phobolog,54,10,5,12,18,33,132
3,20180119,V,Phobolog,44,4,10,11,15,27,111
3,20180119,J,Thorgate,52,10,5,7,9,32,115
4,20180117,V,Saturn Systems,54,7,10,16,17,17,121
4,20180117,J,Teractor,39,7,5,5,8,35,99
5,20180116,V,Mining Guild,46,7,5,7,12,30,107
5,20180116,J,Inventrix,45,12,10,11,13,44,130
6,20180115,V,Phobolog,45,6,5,10,10,31,107
6,20180115,J,Saturn Systems,52,15,10,9,23,29,138
7,20180113,V,Credicor,41,4,0,5,6,23,79
7,20180113,J,Tharsis Republic,44,10,15,10,14,10,103
8,20180111,V,Teractor,48,4,5,9,7,16,89
8,20180111,J,Mining Guild,39,10,10,6,7,25,97
9,20180109,V,Ecoline,46,4,5,13,11,18,97
9,20180109,J,Mining Guild,43,10,10,4,5,25,97
10,20180108,V,Interplanetary Cinematics,50,7,10,13,6,18,104
10,20180108,J,Thorgate,37,7,5,7,8,47,111
11,20180107,V,Credicor,45,12,10,10,14,32,123
11,20180107,J,UNMI,61,9,5,9,9,20,113
12,20180106,V,Helios,48,15,5,12,18,47,145
12,20180106,J,Teractor,44,6,10,9,19,40,128
13,20171230,V,Teractor,49,10,0,8,16,17,
13,20171230,J,Saturn Systems,48,4,15,15,22,44,148
14,20171229,V,Inventrix,44,7,10,11,17,22,111
14,20171229,J,Credicor,49,7,5,13,20,35,129
15,20171228,V,UNMI,47,7,0,15,21,31,121
15,20171228,J,Ecoline,47,7,15,14,19,14,116
16,20171227,V,Phobolog,49,9,5,16,21,16,116
16,20171227,J,Helion,41,12,10,10,15,32,120
17,20171226,V,Tharsis Republic,48,4,10,12,8,22,104
17,20171226,J,Mining Guild,42,10,5,8,5,18,88
18,20171225,V,Thorgate,40,4,9,14,,25,92
18,20171225,J,Interplanetary Cinematics,52,10,15,12,18,19,126
19,20171224,V,Interplanetary Cinematics,47,10,10,11,9,13,100
19,20171224,J,Thorgate,42,7,5,10,15,18,97
20,20171224,V,Mining Guild,46,4,10,13,14,12,99
20,20171224,J,Credicor,43,10,5,7,6,25,96
21,20171221,V,Helion,41,2,10,16,12,29,110
21,20171221,J,Ecoline,54,5,5,13,27,18,122
22,20171221,V,Tharsis Republic,45,4,10,9,7,23,98
22,20171221,J,UNMI,55,10,5,4,8,6,88